antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
ACT_DECREASING & HEATER_OFF,TEMP_STABLE,0.18969778720351801,0.8855045456671916,0.18817541753083725,0.9919747631476192,1.1202367825229025,1.0,0.02019716465911442,14.266925255775117,0.13245870136747795,0.2121417222821656,0.9299078125053463,0.6022406009681012
AT_SETPOINT & TEMP_COLD,TEMP_STABLE,0.2239169928423285,0.8855045456671916,0.22148626943409172,0.9891445335283313,1.1170406051197075,1.0,0.023206754420081827,10.54726249043523,0.13500797517424573,0.24943965753800562,0.905188668537751,0.6196344533547555
ACT_DECREASING & HEATER_OFF,AT_SETPOINT,0.18969778720351801,0.9124257333104621,0.1875984374756343,0.9889331881049754,1.0838506105224905,1.0,0.014513294879092364,7.91323350574972,0.09547502430716623,0.20513208544523687,0.8736294083482555,0.5972686252901369
ACT_DECREASING & HEATER_OFF,AT_SETPOINT & TEMP_STABLE,0.18969778720351801,0.8738596846881969,0.18743469989240102,0.9880700384307117,1.1306964444563734,1.0,0.021665451380686096,10.573405000442808,0.1426496536500928,0.21393656903207148,0.9054230874578132,0.6012803259714856
TEMP_STABLE,AT_SETPOINT,0.8855045456671916,0.9124257333104621,0.8738596846881969,0.9868494622235724,1.0815668894421535,1.0,0.06590255025806202,6.659367713958829,0.6586766567427687,0.9456633401045853,0.8498355935648544,0.9722909296338621
AT_SETPOINT & HEATER_OFF,TEMP_STABLE,0.5091342180360846,0.8855045456671916,0.5010253091521512,0.9840731410369304,1.1113134832023606,1.0,0.050184644726487204,7.188828293029718,0.20405555902225903,0.5606734171251074,0.8608952726037984,0.7749404311500608
TEMP_COLD & TEMP_STABLE,HEATER_OFF,0.22716055639590188,0.5536065151964071,0.2233634038704446,0.9832842788127376,1.7761428953990732,1.0,0.09760583985403243,26.7050090033657,0.565424345855691,0.400721087436223,0.9625538414956547,0.6933769435851096
AT_SETPOINT & TEMP_COLD,HEATER_OFF,0.2239169928423285,0.5536065151964071,0.2200750074071764,0.9828419210780602,1.7753438482012265,1.0,0.09611310130647607,26.0165189141773,0.5627346941622302,0.39478984544373735,0.9615628822864897,0.6901857884142031
ACT_INCREASING & HEATER_ON & TEMP_HOT,AT_SETPOINT,0.1996838305238043,0.9124257333104621,0.19605821260935333,0.9818432073095734,1.0760801361303687,1.0,0.013861547113429157,4.82322336233495,0.08834156221778508,0.21402535168709796,0.7926697718772256,0.5983595054213311
AT_SETPOINT & TEMP_COLD,HEATER_OFF & TEMP_STABLE,0.2239169928423285,0.5089743789667379,0.21901266237310338,0.9780975512087262,1.9217029218530586,1.0,0.10504465000107974,22.418754437581104,0.6180114755829046,0.4261952448146631,0.9553944888961504,0.7041997453031896
ACT_INCREASING & HEATER_ON & TEMP_HOT,TEMP_STABLE,0.1996838305238043,0.8855045456671916,0.19498417203362078,0.976464501517947,1.102721049028857,1.0,0.01816323240855497,4.864798356411132,0.11639442788121998,0.2190330837834938,0.7944416342185822,0.5983300322936285
HEATER_OFF & TEMP_COLD,TEMP_STABLE,0.23001231930388136,0.8855045456671916,0.2233634038704446,0.971093220338983,1.09665526291263,1.0,0.01968644956740412,3.9608512492733468,0.11446470742068192,0.25036433036406824,0.7475290191260127,0.6116687204191624
ACT_INCREASING & HEATER_ON & TEMP_HOT,AT_SETPOINT & TEMP_STABLE,0.1996838305238043,0.8738596846881969,0.19376588644408752,0.9703634287053036,1.1104339125697742,1.0,0.019270237265224532,4.256238485130579,0.12426480740090567,0.22024416182921966,0.7650507593750775,0.5960495629553857
TEMP_COLD & TEMP_STABLE,AT_SETPOINT & HEATER_OFF,0.22716055639590188,0.5091342180360846,0.21901266237310338,0.9641315633661413,1.893668760047491,1.0,0.10335745012383397,13.685173596346615,0.61063723484087,0.4233911385440925,0.9269282195830559,0.6971492062640334
AT_SETPOINT,TEMP_STABLE,0.9124257333104621,0.8855045456671916,0.8738596846881969,0.9577323970441518,1.0815668894421535,1.0,0.06590255025806202,2.708822983229208,0.8611603148164082,0.9456633401045853,0.6308359733392794,0.9722909296338621
HEATER_OFF & TEMP_COLD,AT_SETPOINT,0.23001231930388136,0.9124257333104621,0.2200750074071764,0.9567966101694916,1.0486295763470448,1.0,0.0102058482958923,2.027023042245094,0.060227468140831325,0.2385991162056439,0.5066656968573884,0.598997165557861
TEMP_COLD,HEATER_OFF,0.24068645032513605,0.5536065151964071,0.23001231930388136,0.9556513006576177,1.7262284211351344,1.0,0.09676673228438964,10.065537240615136,0.5540562122381636,0.407620429383215,0.9006511052420599,0.6855655458954987
HEATER_OFF & TEMP_COLD,AT_SETPOINT & TEMP_STABLE,0.23001231930388136,0.8738596846881969,0.21901266237310338,0.9521779661016949,1.0896234061209071,1.0,0.01801416955181276,2.6377028542960788,0.10682213276487851,0.2475112733424827,0.6208822391152664,0.6014023864556799
TEMP_COLD,TEMP_STABLE,0.24068645032513605,0.8855045456671916,0.22716055639590188,0.9438028442774304,1.0658362499611038,1.0,0.01403161055249319,2.037388776365161,0.08134923042648631,0.2526728199524302,0.5091756607278128,0.6001675939542115
ACT_INCREASING & HEATER_ON,AT_SETPOINT,0.2232172095997006,0.9124257333104621,0.2106250097462847,0.943587683602005,1.0341528621496472,1.0,0.0069558835897627624,1.5523962191463996,0.0425150575917006,0.2276982988058135,0.35583455585207496,0.5872141998952966
ACT_INCREASING & HEATER_ON,TEMP_STABLE,0.2232172095997006,0.8855045456671916,0.21036575857283205,0.942426253558517,1.0642816665028378,1.0,0.012705904801150886,1.9886747243238645,0.0777554700481937,0.23416747853520836,0.4971525570427346,0.5899961186916998
HEATER_ON & TEMP_HOT,AT_SETPOINT,0.3992370608324107,0.9124257333104621,0.37582258643005284,0.9413519517613456,1.031702545637258,1.0,0.011548418435327001,1.4932170689325424,0.05114892386523253,0.4015884157708482,0.3303050033342634,0.6766229218674402
HEATER_ON & TEMP_STABLE,TEMP_HOT,0.3765301667004538,0.5399207821978262,0.3513516147644518,0.9331300539432406,1.728272155305448,1.0,0.1480551526384649,6.880209196096209,0.6758746032260153,0.6217519532260568,0.8546555821925598,0.7919383283420767
AT_SETPOINT & HEATER_ON,TEMP_HOT,0.4032915152743774,0.5399207821978262,0.37582258643005284,0.9318881558278354,1.7259720065496438,1.0,0.15807711604936442,6.754760840702576,0.7048941621300322,0.662371169437955,0.8519562685366684,0.8139790108351994
ACT_INCREASING & AT_SETPOINT & HEATER_ON & OO_WARM,TEMP_HOT & TEMP_STABLE,0.11951868947557191,0.46847466745676547,0.11135130288334087,0.9316643561934274,1.988718752395312,1.0,0.055359824576403906,7.778156507133272,0.5646499063590684,0.23361619466312242,0.8714348317518541,0.5846767076076047
TEMP_COLD,AT_SETPOINT,0.24068645032513605,0.9124257333104621,0.2239169928423285,0.9303265411901908,1.01961892045151,1.0,0.004308481906524136,1.256924346595069,0.025340551980922152,0.240979500390189,0.20440716841157652,0.587867499919006
HEATER_ON & TEMP_STABLE,AT_SETPOINT & TEMP_HOT,0.3765301667004538,0.4965810033215338,0.3501333291749185,0.9298944948904051,1.8725937735646783,1.0,0.1631556012139828,7.180876821178003,0.7473999936406859,0.669499358917017,0.8607412402548423,0.8174912703064726
HEATER_OFF & OO_WARM,TEMP_STABLE,0.35998877228000686,0.8855045456671916,0.33434824644845385,0.92877409573316,1.0488642890402857,1.0,0.015576552205356253,1.6074973776937092,0.07279217436125328,0.3669539098735217,0.3779150038585389,0.6531767317165573
TEMP_COLD,HEATER_OFF & TEMP_STABLE,0.24068645032513605,0.5089743789667379,0.2233634038704446,0.9280264990767437,1.8233265512513968,1.0,0.10086016729049986,6.822311194182865,0.5946843576181933,0.4244052755750948,0.8534221070342463,0.6834382472405074
HEATER_OFF & OO_WARM,AT_SETPOINT,0.35998877228000686,0.9124257333104621,0.33344768974067085,0.9262724713017111,1.0151757425133225,1.0,0.004984670209552622,1.1878096043055135,0.02335721856091668,0.3551219107129882,0.1581142328069671,0.6458621702487632
ACT_INCREASING & HEATER_ON,AT_SETPOINT & TEMP_STABLE,0.2232172095997006,0.8738596846881969,0.20666996740842392,0.9258693260212726,1.0595171538913977,1.0,0.011609447010650392,1.7015940708700483,0.07231602852564956,0.23210732213497143,0.41231577077094167,0.5811858943179635
ACT_INCREASING & TEMP_HOT,AT_SETPOINT,0.27159191916041603,0.9124257333104621,0.2506978339856847,0.9230680896570039,1.0116638055657738,1.0,0.0028903779845463606,1.138334746909229,0.015828118892493578,0.2686087116338909,0.12152378488386771,0.5989139020778712
OO_WARM & TEMP_HOT,AT_SETPOINT,0.33020607544404074,0.9124257333104621,0.3043823194598219,0.9217950307259107,1.010268558934057,1.0,0.0030937989292232904,1.119804374356463,0.015175096405507467,0.3244151187213948,0.1069868783333812,0.6276959233580162
OO_WARM & TEMP_NORMAL & TEMP_STABLE,HEATER_OFF,0.11991828714893882,0.5536065151964071,0.11049362982830944,0.9214076723016905,1.6643728840055212,1.0,0.04410608477146333,5.679860844905281,0.4535636797994613,0.1962478015814765,0.8239393486379196,0.5604982088643861
HEATER_OFF & TEMP_NORMAL,TEMP_STABLE,0.18291047452711026,0.8855045456671916,0.1684879224039796,0.9211496653736306,1.0402540222756078,1.0,0.006519865760080429,1.4520604747632673,0.04735875051361075,0.18722396827219032,0.31132344872686357,0.5557115111083986
ACT_DECREASING,AT_SETPOINT,0.4110651519640713,0.9124257333104621,0.37845798181733126,0.9206763940194327,1.0090425559119596,1.0,0.003391559098136987,1.104012678281316,0.015216489376416297,0.400470693065631,0.09421330056031506,0.6677293128017986
TEMP_COLD,AT_SETPOINT & TEMP_STABLE,0.24068645032513605,0.8738596846881969,0.22148626943409172,0.9202274126145972,1.0530608388724843,1.0,0.011160083844246965,1.5812488907045894,0.06635894905994125,0.2480083116157449,0.36758848915023773,0.5868424439496127
HEATER_OFF & TEMP_NORMAL,AT_SETPOINT,0.18291047452711026,0.9124257333104621,0.1683007937374273,0.9201266038620572,1.0084399971093043,1.0,0.0014085698868641083,1.0964134608511655,0.010242891967646767,0.18154731866505178,0.08793531299434985,0.5522904211327189
